open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1502973300000,308.03,308.03,308.03,308.03,30.81091,1502973599999,9490.6846073,20,29.52296,9093.9573688,0
1502973600000,308.03,308.03,308.03,308.03,30.30063,1502973899999,9333.5030589,16,30.28071,9327.3671013,0
1502973900000,308.12,308.12,308.12,308.12,17.1952,1502974199999,5298.185024,17,17.1952,5298.185024,0
1502974200000,308.12,308.55,308.04,308.23,65.39537,1502974499999,20173.5836013,22,64.15517,19790.9570973,0
1502974500000,308.23,308.62,308.23,308.62,9.27331,1502974799999,2859.5286226,18,9.27331,2859.5286226,0
1502974800000,308.62,309.72,308.62,309.62,16.27342,1502975099999,5033.3160704,20,15.94401,4931.6535562,0
1502975100000,309.62,309.62,309.62,309.62,5.46787,1502975399999,1692.9619094,15,5.46787,1692.9619094,0
1502975400000,309.62,309.62,308.45,308.45,61.02399,1502975699999,18836.4129688,24,58.44401,18037.5995612,0
1502975700000,309.52,309.52,309.15,309.15,16.69774,1502975999999,5163.5409664,22,16.50878,5105.1239824,0
1502976000000,309.15,309.52,309.15,309.51,7.85515,1502976299999,2430.6877024,23,6.05702,1874.5812529,0
1502976300000,309.51,309.52,309.51,309.52,9.70079,1502976599999,3002.5872416,15,9.49654,2939.3690608,0
1502976600000,309.52,309.52,309.52,309.52,4.61182,1502976899999,1427.4505264,15,4.61182,1427.4505264,0
1502976900000,309.52,309.52,309.52,309.52,3.61915,1502977199999,1120.199308,12,3.61915,1120.199308,0
1502977200000,309.52,309.52,308.77,308.77,106.66351,1502977499999,33007.9282252,25,106.54568,32971.4574836,0
1502977500000,308.77,308.77,308.0,308.77,12.21375,1502977799999,3770.4695875,24,11.21375,3462.4695875,0
1502977800000,308.07,308.77,308.07,308.77,53.00681,1502978099999,16332.8364787,11,53.00681,16332.8364787,0
1502978100000,308.77,309.4,307.77,309.4,13.44642,1502978399999,4147.9879369,25,5.84572,1806.9263279,0
1502978400000,307.77,308.45,307.77,308.23,64.15402,1502978699999,19779.2333922,21,56.64391,17466.4052375,0
1502978700000,307.25,308.23,307.03,307.23,172.70677,1502978999999,53133.7059844,24,168.23132,51758.7134809,0
1502979000000,307.03,307.24,305.49,307.23,77.96336,1502979299999,23862.9393755,24,73.74313,22566.3159103,0
1502979300000,307.23,307.23,306.81,306.81,29.96542,1502979599999,9200.7785679,13,26.02663,7992.318309,0
1502979600000,307.12,307.12,307.12,307.12,16.12374,1502979899999,4951.9230288,9,16.12374,4951.9230288,0
1502979900000,305.54,307.59,305.54,307.59,54.7345,1502980199999,16733.5647491,24,53.79565,16445.2251371,0
1502980200000,307.59,307.59,307.58,307.58,3.67486,1502980499999,1130.3446854,13,3.67486,1130.3446854,0
1502980500000,307.58,307.59,307.58,307.59,10.72969,1502980799999,3300.2958608,22,9.4512,2907.0451217,0
1502980800000,307.67,308.71,307.23,307.23,65.6654,1502981099999,20198.3788772,33,39.54951,12163.3030189,0
1502981100000,307.23,307.23,307.23,307.23,36.85421,1502981399999,11322.7189383,20,36.30602,11154.2985246,0
1502981400000,306.22,307.23,306.17,306.43,146.16474,1502981699999,44785.1783275,21,121.72683,37282.8921262,0
1502981700000,306.43,306.51,306.43,306.5,31.52294,1502981999999,9660.98754,19,21.90666,6714.2708596,0
1502982000000,306.5,306.5,306.5,306.5,13.3432,1502982299999,4089.6908,20,13.3432,4089.6908,0
1502982300000,306.5,307.78,306.5,307.78,4.4199,1502982599999,1358.3101231,14,3.99077,1226.7817781,0
1502982600000,306.53,306.53,306.43,306.43,18.82505,1502982899999,5768.8233325,17,18.82477,5768.7375321,0
1502982900000,306.43,307.78,306.43,307.78,2.75118,1502983199999,844.2109734,10,2.48097,761.4105231,0
1502983200000,307.78,308.71,307.78,307.86,34.04145,1502983499999,10488.2158566,39,33.99913,10475.1872214,0
1502983500000,307.87,308.76,306.43,306.43,71.3619,1502983799999,21938.3062278,79,68.34852,21010.7889748,0
1502983800000,306.4,306.74,305.33,305.33,96.89379,1502984099999,29648.4342105,77,96.89335,29648.2994735,0
1502984100000,305.22,305.22,303.56,304.26,107.07893,1502984399999,32594.7400817,77,100.44531,30578.5835971,0
1502984400000,304.26,306.04,304.23,306.04,28.13126,1502984699999,8570.5760924,28,28.13126,8570.5760924,0
1502984700000,306.04,306.04,305.79,306.04,16.09363,1502984999999,4925.1995802,20,15.71385,4809.066654,0
1502985000000,306.04,306.54,306.04,306.54,34.73776,1502985299999,10632.8640704,29,34.73776,10632.8640704,0
1502985300000,306.04,307.06,306.04,307.06,31.74177,1502985599999,9742.3093278,24,19.16,5881.8864,0
1502985600000,307.74,307.74,302.22,303.9,87.53737,1502985899999,26723.1384044,40,80.33708,24532.3405906,0
1502985900000,303.67,304.89,298.21,303.55,105.69496,1502986199999,31996.2583861,76,59.84898,18180.2893033,0
1502986200000,303.55,305.54,303.55,305.54,145.40754,1502986499999,44148.8281964,74,129.16662,39218.8969304,0
1502986500000,305.12,306.83,305.12,306.83,16.22528,1502986799999,4965.0647933,25,10.14509,3107.2410829,0
1502986800000,306.83,308.55,306.83,307.74,44.01427,1502987099999,13532.2814752,42,44.01427,13532.2814752,0
1502987100000,307.74,309.4,307.74,309.4,26.5519,1502987399999,8191.3348066,35,25.44238,7849.5602449,0
1502987400000,308.76,310.46,308.76,310.46,20.8706,1502987699999,6467.803661,24,20.13332,6239.4127386,0
1502987700000,311.12,311.12,311.12,311.12,18.73156,1502987999999,5827.7629472,23,17.11756,5325.6152672,0
1502988000000,311.12,312.18,311.12,312.17,3.29667,1502988299999,1029.0739409,9,3.22859,1007.8928913,0
1502988300000,312.17,312.17,308.0,308.0,28.66138,1502988599999,8931.881004,20,28.66113,8931.803814,0
1502988600000,308.0,308.0,303.72,303.72,74.91923,1502988899999,22977.794621,28,74.91918,22977.7792795,0
1502988900000,307.28,308.0,307.28,308.0,24.90001,1502989199999,7662.562364,26,19.15599,5894.913612,0
1502989200000,308.0,308.0,308.0,308.0,9.7861,1502989499999,3014.1188,16,9.7861,3014.1188,0
1502989500000,308.0,308.0,308.0,308.0,1.63724,1502989799999,504.26992,11,1.63724,504.26992,0
1502989800000,308.0,308.0,308.0,308.0,5.6663,1502990099999,1745.2204,12,5.6663,1745.2204,0
1502990100000,308.0,308.0,308.0,308.0,9.3708,1502990399999,2886.2064,12,9.3708,2886.2064,0
1502990400000,308.0,308.33,308.0,308.33,12.02082,1502990699999,3703.4485059,13,11.56272,3562.3537059,0
1502990700000,308.33,308.33,308.33,308.33,20.13382,1502990999999,6207.8607206,18,20.13382,6207.8607206,0
